"","Full_Ecosystem_type_name","tot_ext18","Heavily18","NearNatural18","Severely18","Moderate18","Natural18","ext_pa18","ext_pa18_hfp","Heavily","NearNatural","Severely","Moderate","Natural","ext_pa24","ext_pa24_hfp","prp_pa18","prp_pa18_ab_hfp","prp_pa18_model","EPL18_all","EPL18_model","prp_pa24","prp_pa24_ab_hfp","prp_pa24_model","EPL24_all","EPL24_model","Biogeographical_Region"
"1","1 Cool Temperate - Arid Predominantly Closed",14422511.3834159,0,1417277.09387582,323973.854786528,0,0,1741250.94866234,0,323973.854786528,1588712.68128552,0,0,0,1912686.53607205,0,0.120731466411916,0.0982683983529744,0.100514705158869,"PP","PP",0.132618133224107,0.110155065165166,0.116893985582848,"PP","PP","aCTemp"
"2","1 Cool Temperate - Estuarine Lagoon",60160216.7133714,0,59380053.8258639,0,0,0,59380053.8258639,59380053.8258639,0,59380053.8258639,0,0,0,59380053.8258639,59380053.8258639,0.987031913611207,0,0.987031913611207,"WP","MP",0.987031913611207,0,0.987031913611207,"WP","MP","aCTemp"
"3","1 Cool Temperate - Estuarine Lake",72380147.616117,0,0,2110565.25785518,7032767.39356978,0,9143332.65142496,7032767.39356978,0,0,3609702.93385683,7032767.39356978,0,10642470.3274266,7032767.39356978,0.126323763525857,-0.0971643140446398,0.0514981019704416,"PP","PP",0.147035764335148,-0.0971643140446398,0.0535693020513707,"PP","PP","aCTemp"
"4","1 Cool Temperate - Large Fluvially Dominated",30195410.752317,6061246.45674042,0,0,0,0,6061246.45674042,0,6061246.45674042,0,0,0,0,6061246.45674042,0,0.200734028970787,0,0.0602202086912362,"MP","PP",0.200734028970787,0,0.0602202086912362,"MP","PP","aCTemp"
"5","1 Cool Temperate - Large Temporarily Closed",39485939.7689769,16060745.9664506,0,1450497.27643607,52249.7987410935,0,17563493.0416277,0,16275317.7920285,0,1450497.27643607,52249.7987410935,0,17778064.8672056,0,0.444803723664364,0,0.126358862069414,"WP","PP",0.450237856088039,0,0.127989101796516,"WP","PP","aCTemp"
"6","1 Cool Temperate - Predominantly Open",154552502.640184,1082599.0127896,0,0,0,0,1082599.0127896,0,1082599.0127896,0,0,0,0,1082599.0127896,0,0.00700473298261636,0,0.00210141989478491,"NP","NP",0.00700473298261636,0,0.00210141989478491,"NP","NP","aCTemp"
"7","1 Cool Temperate - Small Fluvially Dominated",39565.5134155485,0,14911.2168176176,0,0,0,14911.2168176176,0,0,14911.2168176176,0,0,0,14911.2168176176,0,0.376874088831053,0.376874088831053,0.376874088831053,"WP","WP",0.376874088831053,0.376874088831053,0.376874088831053,"WP","WP","aCTemp"
"8","1 Cool Temperate - Small Temporarily Closed",5529094.55443563,478212.328027644,224251.045796079,0,0,1370830.05298635,2073293.42681007,0,478212.328027644,224251.045796079,0,0,1370830.05298635,2073293.42681007,0,0.374978833586198,0.288488663573821,0.314435714577534,"WP","MP",0.374978833586198,0.288488663573821,0.314435714577534,"WP","MP","aCTemp"
"9","2 Warm Temperate - Estuarine Bay",30105648.3097567,0,29844226.8603908,0,0,0,29844226.8603908,29844226.8603908,0,29844226.8603908,0,0,0,29844226.8603908,29844226.8603908,0.991316531480201,0,0.991316531480201,"WP","MP",0.991316531480201,0,0.991316531480201,"WP","MP","bWTemp"
"10","2 Warm Temperate - Estuarine Lake",143887014.807451,0,20485771.2954971,0,32306018.6733224,0,52791789.9688195,0,0,20485771.2954971,0,32306018.6733224,0,52791789.9688195,0,0.366897527476438,0.142374010072493,0.254635768774465,"WP","MP",0.366897527476438,0.142374010072493,0.254635768774465,"WP","MP","bWTemp"
